line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount
1,1,26,52.0,2,1262.21
2,2,90,111.0,4,0.0
3,2,239,279.0,4,3029.99
4,2,430,3.0,1,2273.58
5,2,778,79.0,1,3505.79
6,2,221,183.0,2,555.94
7,3,619,274.0,2,4045.28
8,3,128,185.0,3,440.06
9,3,592,116.0,1,3537.63
10,4,82,232.0,1,4339.09
11,4,651,136.0,2,855.14
12,4,719,125.0,1,3065.2
13,5,474,285.0,3,1386.24
14,5,225,117.0,2,4222.12
15,6,825,290.0,2,2035.77
16,7,218,234.0,3,2008.38
17,7,147,275.0,2,741.17
18,7,270,185.0,4,2170.75
19,8,142,56.0,4,2492.9
20,8,157,32.0,1,3970.79
21,9,391,283.0,4,4980.8
22,9,882,274.0,1,3417.4
23,9,769,150.0,2,3854.56
24,9,446,134.0,1,2295.93
25,10,781,152.0,1,2563.02
26,10,862,82.0,4,3064.4
27,10,553,250.0,4,4596.54
28,10,20,157.0,1,4649.04
29,10,246,40.0,1,1242.31
30,11,750,272.0,3,4089.32
31,12,132,270.0,3,4736.9
32,12,894,276.0,4,2144.53
33,13,731,191.0,2,2025.01
34,13,449,32.0,4,2284.86
35,14,22,3.0,4,2791.91
36,14,73,169.0,1,1183.26
37,14,527,276.0,1,1428.46
38,15,741,242.0,4,2902.25
39,15,827,220.0,3,992.53
40,16,434,50.0,3,2361.77
41,16,63,55.0,3,3654.66
42,16,255,216.0,1,991.53
43,17,286,226.0,3,1286.54
44,17,828,276.0,4,534.65
45,18,993,85.0,1,4635.52
46,19,498,30.0,3,1108.05
47,19,169,232.0,3,60.67
48,19,293,284.0,3,3498.13
49,19,678,29.0,3,816.24
50,20,754,25.0,4,351.74
51,20,599,80.0,3,2539.11
52,20,59,34.0,4,446.55
53,20,692,291.0,1,2048.69
54,20,253,214.0,4,2992.87
55,21,579,160.0,4,1616.03
56,21,245,153.0,2,2009.14
57,21,469,4.0,2,4648.64
58,21,470,37.0,4,4992.35
59,21,551,178.0,1,2554.13
60,22,901,278.0,1,1879.16
61,23,627,153.0,4,88.72
62,23,955,59.0,1,4697.7
63,23,912,144.0,1,3724.96
64,24,216,135.0,2,1057.81
65,24,518,26.0,3,1293.05
66,24,95,170.0,3,4155.27
67,24,790,226.0,1,3203.71
68,24,565,76.0,3,2826.49
69,25,37,65.0,2,2933.42
70,25,43,20.0,2,1855.03
71,25,921,52.0,2,1089.88
72,25,363,79.0,4,4426.47
73,25,948,90.0,1,4329.8
74,26,26,210.0,1,3695.99
75,26,822,55.0,1,1370.69
76,26,392,235.0,1,4300.04
77,26,359,114.0,2,4111.66
78,27,676,35.0,1,2022.41
79,28,360,274.0,4,2028.41
80,28,340,91.0,1,620.94
81,28,595,176.0,2,239.37
82,29,447,295.0,4,4921.97
83,29,195,266.0,2,269.71
84,29,948,100.0,4,3449.94
85,30,442,160.0,1,4746.93
86,30,680,158.0,1,3612.78
87,30,683,283.0,3,1664.61
88,31,197,89.0,3,3341.4
89,31,631,NO_PROMO,4,1539.7
90,32,294,164.0,1,2177.95
91,32,477,242.0,3,2238.69
92,32,813,171.0,1,3311.31
93,33,839,101.0,1,3380.34
94,34,26,37.0,1,1261.97
95,34,467,196.0,3,4436.38
96,35,410,54.0,1,780.48
97,35,798,265.0,3,1133.26
98,35,476,62.0,1,2809.16
